name,observed_version,requested_version,request_matches,role,delivery,artifact,metadata_sha256,source,license_metadata,license_files,modification,required_notices,status
psutil,7.2.2,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/psutil,525f8ba78523cf7bc3759d62a105e7c57fd679ea702402b9449fb0746aa0217f,https://pypi.org/pypi/psutil/7.2.2/json,BSD-3-Clause,psutil-7.2.2.dist-info/LICENSE sha256=c7adc4d5d1337a548b967421f1fbe258b93033a0417708fd6f4e38f8ecbceb80,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pycparser,3.0,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/pycparser,f547a60b0ab54cc2f242213d1f87960ad80df7dd5dfeb98d17a444d48bfb6b93,https://pypi.org/pypi/pycparser/3.0/json,BSD-3-Clause,pycparser-3.0.dist-info/licenses/LICENSE sha256=0c846399369ea76ddd7b5c44fe6d16497415fcf015f5cbb508c24bf98b81c5b1,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pydantic,2.13.4,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pydantic,d1e56c3412492512fb6b59a9dfc25ab7af2a8204585cd7bca000513023133394,https://pypi.org/pypi/pydantic/2.13.4/json,MIT,pydantic-2.13.4.dist-info/licenses/LICENSE sha256=a9e186f3ca16b5eef84318e7a701721351a00cb7b8ae3a4394b67b49e3529ef3,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pydantic_core,2.46.4,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pydantic_core,135fa8b2f89473e9191c7078c2164e3ec6c8927a61c2379c2fddcc07f11f3bae,https://pypi.org/pypi/pydantic_core/2.46.4/json,MIT,pydantic_core-2.46.4.dist-info/licenses/LICENSE sha256=fbe7f615f18d135c07000e5a86325db27f42c7729699ef166ac1f7a3f4586bf4,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pydub,0.25.1,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pydub,7f433cfd956d6e2628508f5e8d721e274dc9a3d03935b8bed15d5b56ab398989,https://pypi.org/pypi/pydub/0.25.1/json,License :: OSI Approved :: MIT License,pydub-0.25.1.dist-info/LICENSE sha256=ae856536224cc7a389e968771fc5f259814bdd0da63539cf72282adbaef6897a,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
Pygments,2.20.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/Pygments,e0528f51b30427fae94723662ba622f8d8db2a4d8d3f1365698d67a52450a845,https://pypi.org/pypi/Pygments/2.20.0/json,BSD-2-Clause,pygments-2.20.0.dist-info/licenses/LICENSE sha256=a9d66f1d526df02e29dce73436d34e56e8632f46c275bbdffc70569e882f9f17,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pypinyin,0.55.0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/pypinyin,82ac94eb74fa0eb500355219bc585228716759ed255c385c5e32dd28ddbaf03f,https://pypi.org/pypi/pypinyin/0.55.0/json,License :: OSI Approved :: MIT License,pypinyin-0.55.0.dist-info/licenses/LICENSE.txt sha256=1e6c90014b4912815c296ee64bb6f6280af47e6d4c5d80e86232dfc5defe764c,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
pyreadline3,3.5.6,transitive-not-pinned,not-applicable,observed-dependency-closure,B-candidate,python-3.12.10-embed-amd64/Lib/site-packages/pyreadline3,e5aee6e93248c9b3db46ddd3923e85852d1c48fde67e84ee0a5bfd55e42468e0,https://pypi.org/pypi/pyreadline3/3.5.6/json,License :: OSI Approved :: BSD License,pyreadline3-3.5.6.dist-info/licenses/LICENSE.md sha256=8fc4d8de61b40533023b16e64528d13371a2e9c68677df79ed5e93ba570471bd,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
python-dateutil,2.9.0.post0,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/python-dateutil,a9d436da322be808332f98d88325998e87cb693a678a9969feb4cfad729a6e93,https://pypi.org/pypi/python-dateutil/2.9.0.post0/json,License :: OSI Approved :: BSD License; License :: OSI Approved :: Apache Software License,python_dateutil-2.9.0.post0.dist-info/LICENSE sha256=ba00f51a0d92823b5a1cde27d8b5b9d2321e67ed8da9bc163eff96d5e17e577e,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
python-multipart,0.0.29,not-requested,not-applicable,extra-observed-not-proven-product-dependency,C-observed-extra,python-3.12.10-embed-amd64/Lib/site-packages/python-multipart,2e985588b6ce11a720d196b26af48bac178e0e2d70e177f5ee7d4fc5ea71ca0f,https://pypi.org/pypi/python-multipart/0.0.29/json,Apache-2.0,python_multipart-0.0.29.dist-info/licenses/LICENSE.txt sha256=cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,not-byte-compared-except-imageio-ffmpeg,review actual wheel license and bundled native libraries,待核实
